,YearMonth,crime_sum,year,month
0,198001,501.0,1980,01
1,198002,434.0,1980,02
2,198003,429.0,1980,03
3,198004,439.0,1980,04
4,198005,410.0,1980,05
5,198006,418.0,1980,06
6,198007,543.0,1980,07
7,198008,504.0,1980,08
8,198009,430.0,1980,09
9,198010,489.0,1980,10
10,198011,453.0,1980,11
11,198012,471.0,1980,12
12,198101,507.0,1981,01
13,198102,458.0,1981,02
14,198103,479.0,1981,03
15,198104,399.0,1981,04
16,198105,462.0,1981,05
17,198106,388.0,1981,06
18,198107,409.0,1981,07
19,198108,464.0,1981,08
20,198109,392.0,1981,09
21,198110,411.0,1981,10
22,198111,406.0,1981,11
23,198112,416.0,1981,12
24,198201,411.0,1982,01
25,198202,515.0,1982,02
26,198203,523.0,1982,03
27,198204,522.0,1982,04
28,198205,472.0,1982,05
29,198206,580.0,1982,06
30,198207,482.0,1982,07
31,198208,447.0,1982,08
32,198209,430.0,1982,09
33,198210,500.0,1982,10
34,198211,456.0,1982,11
35,198212,453.0,1982,12
36,198301,453.0,1983,01
37,198302,386.0,1983,02
38,198303,447.0,1983,03
39,198304,386.0,1983,04
40,198305,405.0,1983,05
41,198306,368.0,1983,06
42,198307,424.0,1983,07
43,198308,436.0,1983,08
44,198309,386.0,1983,09
45,198310,456.0,1983,10
46,198311,451.0,1983,11
47,198312,392.0,1983,12
48,198401,397.0,1984,01
49,198402,373.0,1984,02
50,198403,426.0,1984,03
51,198404,358.0,1984,04
52,198405,352.0,1984,05
53,198406,414.0,1984,06
54,198407,422.0,1984,07
55,198408,398.0,1984,08
56,198409,419.0,1984,09
57,198410,443.0,1984,10
58,198411,361.0,1984,11
59,198412,433.0,1984,12
60,198501,432.0,1985,01
61,198502,434.0,1985,02
62,198503,519.0,1985,03
63,198504,430.0,1985,04
64,198505,482.0,1985,05
65,198506,491.0,1985,06
66,198507,493.0,1985,07
67,198508,511.0,1985,08
68,198509,461.0,1985,09
69,198510,428.0,1985,10
70,198511,427.0,1985,11
71,198512,446.0,1985,12
72,198601,517.0,1986,01
73,198602,470.0,1986,02
74,198603,491.0,1986,03
75,198604,431.0,1986,04
76,198605,462.0,1986,05
77,198606,471.0,1986,06
78,198607,458.0,1986,07
79,198608,506.0,1986,08
80,198609,482.0,1986,09
81,198610,494.0,1986,10
82,198611,469.0,1986,11
83,198612,445.0,1986,12
84,198701,458.0,1987,01
85,198702,447.0,1987,02
86,198703,465.0,1987,03
87,198704,443.0,1987,04
88,198705,521.0,1987,05
89,198706,486.0,1987,06
90,198707,490.0,1987,07
91,198708,447.0,1987,08
92,198709,408.0,1987,09
93,198710,425.0,1987,10
94,198711,381.0,1987,11
95,198712,461.0,1987,12
96,198801,404.0,1988,01
97,198802,407.0,1988,02
98,198803,434.0,1988,03
99,198804,490.0,1988,04
100,198805,465.0,1988,05
101,198806,452.0,1988,06
102,198807,478.0,1988,07
103,198808,462.0,1988,08
104,198809,407.0,1988,09
105,198810,416.0,1988,10
106,198811,439.0,1988,11
107,198812,389.0,1988,12
108,198901,455.0,1989,01
109,198902,393.0,1989,02
110,198903,513.0,1989,03
111,198904,457.0,1989,04
112,198905,519.0,1989,05
113,198906,501.0,1989,06
114,198907,486.0,1989,07
115,198908,497.0,1989,08
116,198909,418.0,1989,09
117,198910,461.0,1989,10
118,198911,462.0,1989,11
119,198912,440.0,1989,12
120,199001,403.0,1990,01
121,199002,436.0,1990,02
122,199003,471.0,1990,03
123,199004,426.0,1990,04
124,199005,436.0,1990,05
125,199006,491.0,1990,06
126,199007,433.0,1990,07
127,199008,476.0,1990,08
128,199009,470.0,1990,09
129,199010,449.0,1990,10
130,199011,472.0,1990,11
131,199012,509.0,1990,12
132,199101,489.0,1991,01
133,199102,454.0,1991,02
134,199103,477.0,1991,03
135,199104,446.0,1991,04
136,199105,494.0,1991,05
137,199106,475.0,1991,06
138,199107,454.0,1991,07
139,199108,492.0,1991,08
140,199109,514.0,1991,09
141,199110,576.0,1991,10
142,199111,413.0,1991,11
143,199112,537.0,1991,12
144,199201,530.0,1992,01
145,199202,537.0,1992,02
146,199203,626.0,1992,03
147,199204,460.0,1992,04
148,199205,481.0,1992,05
149,199206,528.0,1992,06
150,199207,504.0,1992,07
151,199208,484.0,1992,08
152,199209,489.0,1992,09
153,199210,504.0,1992,10
154,199211,479.0,1992,11
155,199212,498.0,1992,12
156,199301,506.0,1993,01
157,199302,451.0,1993,02
158,199303,545.0,1993,03
159,199304,476.0,1993,04
160,199305,527.0,1993,05
161,199306,539.0,1993,06
162,199307,626.0,1993,07
163,199308,514.0,1993,08
164,199309,534.0,1993,09
165,199310,568.0,1993,10
166,199311,476.0,1993,11
167,199312,510.0,1993,12
168,199401,542.0,1994,01
169,199402,484.0,1994,02
170,199403,543.0,1994,03
171,199404,526.0,1994,04
172,199405,526.0,1994,05
173,199406,566.0,1994,06
174,199407,554.0,1994,07
175,199408,592.0,1994,08
176,199409,568.0,1994,09
177,199410,536.0,1994,10
178,199411,494.0,1994,11
179,199412,432.0,1994,12
180,199501,453.0,1995,01
181,199502,431.0,1995,02
182,199503,469.0,1995,03
183,199504,515.0,1995,04
184,199505,535.0,1995,05
185,199506,518.0,1995,06
186,199507,519.0,1995,07
187,199508,559.0,1995,08
188,199509,462.0,1995,09
189,199510,450.0,1995,10
190,199511,437.0,1995,11
191,199512,439.0,1995,12
192,199601,386.0,1996,01
193,199602,348.0,1996,02
194,199603,403.0,1996,03
195,199604,403.0,1996,04
196,199605,371.0,1996,05
197,199606,421.0,1996,06
198,199607,411.0,1996,07
199,199608,420.0,1996,08
200,199609,360.0,1996,09
201,199610,368.0,1996,10
202,199611,363.0,1996,11
203,199612,364.0,1996,12
204,199701,418.0,1997,01
205,199702,375.0,1997,02
206,199703,376.0,1997,03
207,199704,429.0,1997,04
208,199705,406.0,1997,05
209,199706,454.0,1997,06
210,199707,445.0,1997,07
211,199708,407.0,1997,08
212,199709,423.0,1997,09
213,199710,443.0,1997,10
214,199711,389.0,1997,11
215,199712,363.0,1997,12
216,199801,408.0,1998,01
217,199802,341.0,1998,02
218,199803,464.0,1998,03
219,199804,403.0,1998,04
220,199805,430.0,1998,05
221,199806,429.0,1998,06
222,199807,348.0,1998,07
223,199808,377.0,1998,08
224,199809,301.0,1998,09
225,199810,336.0,1998,10
226,199811,325.0,1998,11
227,199812,345.0,1998,12
228,199901,366.0,1999,01
229,199902,328.0,1999,02
230,199903,366.0,1999,03
231,199904,287.0,1999,04
232,199905,311.0,1999,05
233,199906,400.0,1999,06
234,199907,354.0,1999,07
235,199908,332.0,1999,08
236,199909,316.0,1999,09
237,199910,373.0,1999,10
238,199911,315.0,1999,11
239,199912,352.0,1999,12
240,200001,317.0,2000,01
241,200002,338.0,2000,02
242,200003,312.0,2000,03
243,200004,290.0,2000,04
244,200005,278.0,2000,05
245,200006,346.0,2000,06
246,200007,365.0,2000,07
247,200008,339.0,2000,08
248,200009,275.0,2000,09
249,200010,358.0,2000,10
250,200011,339.0,2000,11
251,200012,413.0,2000,12
252,200101,361.0,2001,01
253,200102,311.0,2001,02
254,200103,414.0,2001,03
255,200104,341.0,2001,04
256,200105,416.0,2001,05
257,200106,373.0,2001,06
258,200107,415.0,2001,07
259,200108,395.0,2001,08
260,200109,338.0,2001,09
261,200110,398.0,2001,10
262,200111,403.0,2001,11
263,200112,465.0,2001,12
264,200201,433.0,2002,01
265,200202,404.0,2002,02
266,200203,408.0,2002,03
267,200204,404.0,2002,04
268,200205,425.0,2002,05
269,200206,363.0,2002,06
270,200207,400.0,2002,07
271,200208,372.0,2002,08
272,200209,334.0,2002,09
273,200210,339.0,2002,10
274,200211,379.0,2002,11
275,200212,437.0,2002,12
276,200301,346.0,2003,01
277,200302,358.0,2003,02
278,200303,377.0,2003,03
279,200304,357.0,2003,04
280,200305,330.0,2003,05
281,200306,299.0,2003,06
282,200307,379.0,2003,07
283,200308,416.0,2003,08
284,200309,414.0,2003,09
285,200310,411.0,2003,10
286,200311,346.0,2003,11
287,200312,418.0,2003,12
288,200401,403.0,2004,01
289,200402,367.0,2004,02
290,200403,466.0,2004,03
291,200404,393.0,2004,04
292,200405,408.0,2004,05
293,200406,388.0,2004,06
294,200407,390.0,2004,07
295,200408,406.0,2004,08
296,200409,422.0,2004,09
297,200410,345.0,2004,10
298,200411,368.0,2004,11
299,200412,441.0,2004,12
300,200501,374.0,2005,01
301,200502,304.0,2005,02
302,200503,393.0,2005,03
303,200504,345.0,2005,04
304,200505,354.0,2005,05
305,200506,378.0,2005,06
306,200507,374.0,2005,07
307,200508,340.0,2005,08
308,200509,356.0,2005,09
309,200510,326.0,2005,10
310,200511,361.0,2005,11
311,200512,326.0,2005,12
312,200601,387.0,2006,01
313,200602,328.0,2006,02
314,200603,400.0,2006,03
315,200604,351.0,2006,04
316,200605,396.0,2006,05
317,200606,300.0,2006,06
318,200607,313.0,2006,07
319,200608,381.0,2006,08
320,200609,325.0,2006,09
321,200610,308.0,2006,10
322,200611,305.0,2006,11
323,200612,419.0,2006,12
324,200701,393.0,2007,01
325,200702,353.0,2007,02
326,200703,412.0,2007,03
327,200704,341.0,2007,04
328,200705,363.0,2007,05
329,200706,389.0,2007,06
330,200707,355.0,2007,07
331,200708,385.0,2007,08
332,200709,317.0,2007,09
333,200710,387.0,2007,10
334,200711,355.0,2007,11
335,200712,371.0,2007,12
336,200801,432.0,2008,01
337,200802,349.0,2008,02
338,200803,395.0,2008,03
339,200804,369.0,2008,04
340,200805,368.0,2008,05
341,200806,392.0,2008,06
342,200807,385.0,2008,07
343,200808,379.0,2008,08
344,200809,360.0,2008,09
345,200810,429.0,2008,10
346,200811,334.0,2008,11
347,200812,292.0,2008,12
348,200901,346.0,2009,01
349,200902,330.0,2009,02
350,200903,382.0,2009,03
351,200904,366.0,2009,04
352,200905,331.0,2009,05
353,200906,291.0,2009,06
354,200907,318.0,2009,07
355,200908,328.0,2009,08
356,200909,277.0,2009,09
357,200910,329.0,2009,10
358,200911,336.0,2009,11
359,200912,360.0,2009,12
